종목코드,종목명,시장구분,종가,거래량,등락률
050960,수산아이앤티,KOSDAQ,18220,566686,30.14
065500,오리엔트정공,KOSDAQ,13070,16404877,29.92
045660,에이텍,KOSDAQ,37200,2076117,29.84
224110,에이텍모빌리티,KOSDAQ,22100,809919,29.77
025950,동신건설,KOSDAQ,61100,1207054,29.18
000545,흥국화재우,KOSPI,10500,196077,26.05
053160,프리엠스,KOSDAQ,11960,647824,20.69
052400,코나아이,KOSDAQ,29600,1024639,18.4
053580,웹케시,KOSDAQ,11300,1371466,15.78
087010,펩트론,KOSDAQ,106500,1161853,15.64
084690,대상홀딩스,KOSPI,12760,3599061,14.65
413390,엠오티,KOSDAQ,10530,10675477,14.21
004835,덕성우,KOSPI,11510,181028,13.06
484810,티엑스알로보틱스,KOSDAQ,24450,13330954,11.9
482630,삼양엔씨켐,KOSDAQ,17750,411108,11.57
451250,삐아,KOSDAQ,11200,3388733,10.89
304100,솔트룩스,KOSDAQ,22550,167900,10.27
475150,SK이터닉스,KOSPI,13800,290062,10.22
018250,애경산업,KOSPI,14500,259425,10.02
063160,종근당바이오,KOSPI,23300,333427,9.65
088340,유라클,KOSDAQ,14590,3038555,9.62
257720,실리콘투,KOSDAQ,27000,1061755,8.87
039440,에스티아이,KOSDAQ,21900,299806,7.88
003160,디아이,KOSPI,13990,535874,7.86
093520,매커스,KOSDAQ,10080,135566,7.81
168360,펨트론,KOSDAQ,10910,283201,7.49
044490,태웅,KOSDAQ,15580,145586,7.45
009830,한화솔루션,KOSPI,19910,1752708,7.1
479960,위너스,KOSDAQ,16110,1657487,6.9
067160,SOOP,KOSDAQ,86700,176806,6.77
358570,지아이이노베이션,KOSDAQ,12910,508727,6.77
035720,카카오,KOSPI,42200,2570592,6.57
475830,오름테라퓨틱,KOSDAQ,27150,2249341,6.47
181710,NHN,KOSPI,18700,136341,6.37
175330,JB금융지주,KOSPI,18220,436944,6.3
195940,HK이노엔,KOSDAQ,37050,261380,6.16
010620,HD현대미포,KOSPI,113900,724379,6.15
263860,지니언스,KOSDAQ,12060,181379,6.07
377300,카카오페이,KOSPI,30750,432134,6.03
226950,올릭스,KOSDAQ,41050,369406,5.8
091120,이엠텍,KOSDAQ,13000,198171,5.69
018290,브이티,KOSDAQ,33550,744685,5.67
000520,삼일제약,KOSPI,11270,158976,5.62
475580,에이럭스,KOSDAQ,10680,256390,5.43
140410,메지온,KOSDAQ,35650,411483,5.32
310210,보로노이,KOSDAQ,112700,245607,5.23
003350,한국화장품제조,KOSPI,54300,104973,5.03
214450,파마리서치,KOSDAQ,350000,162472,4.95
031980,피에스케이홀딩스,KOSDAQ,37400,198229,4.91
352480,씨앤씨인터내셔널,KOSDAQ,39850,132250,4.87
101490,에스앤에스텍,KOSDAQ,33000,175256,4.76
012450,한화에어로스페이스,KOSPI,673000,343029,4.67
237880,클리오,KOSDAQ,19540,115274,4.66
145720,덴티움,KOSPI,79000,574602,4.64
024720,콜마홀딩스,KOSPI,10090,8368166,4.56
199550,레이저옵텍,KOSDAQ,10850,3855895,4.53
112040,위메이드,KOSDAQ,30300,128406,4.48
463480,모티브링크,KOSDAQ,15250,15561028,4.45
092870,엑시콘,KOSDAQ,11370,109545,4.31
178320,서진시스템,KOSDAQ,21800,266750,4.31
086710,선진뷰티사이언스,KOSDAQ,11690,220487,4.28
241710,코스메카코리아,KOSDAQ,47700,134698,4.26
294870,HDC현대산업개발,KOSPI,21000,192831,4.22
240550,동방메디컬,KOSDAQ,11250,7976827,4.17
206650,유바이오로직스,KOSDAQ,11520,125481,4.16
112290,와이씨켐,KOSDAQ,20400,104797,4.08
011200,HMM,KOSPI,20550,1848065,4.05
012510,더존비즈온,KOSPI,57800,158866,3.96
047810,한국항공우주,KOSPI,79700,1333276,3.91
006660,삼성공조,KOSPI,15490,629695,3.89
080220,제주반도체,KOSDAQ,13240,589581,3.84
251270,넷마블,KOSPI,40750,164453,3.82
285490,노바텍,KOSDAQ,16500,150506,3.77
089030,테크윙,KOSDAQ,33250,316394,3.74
047560,이스트소프트,KOSDAQ,16700,106323,3.73
036810,에프에스티,KOSDAQ,19460,106845,3.68
096530,씨젠,KOSDAQ,23000,210771,3.6
065350,신성델타테크,KOSDAQ,60500,245911,3.6
053800,안랩,KOSDAQ,78000,141159,3.59
464080,에스오에스랩,KOSDAQ,10410,236848,3.58
166090,하나머티리얼즈,KOSDAQ,32600,140561,3.49
017960,한국카본,KOSPI,14470,539706,3.43
089970,브이엠,KOSDAQ,11480,110173,3.42
090430,아모레퍼시픽,KOSPI,105900,391035,3.42
336260,두산퓨얼셀,KOSPI,13750,268500,3.38
302430,이노메트리,KOSDAQ,10130,577029,3.37
011790,SKC,KOSPI,107400,204835,3.37
033500,동성화인텍,KOSDAQ,23300,667063,3.33
068760,셀트리온제약,KOSDAQ,49950,115150,3.31
200130,콜마비앤에이치,KOSDAQ,12570,226556,3.29
317330,덕산테코피아,KOSDAQ,20500,145889,3.27
000250,삼천당제약,KOSDAQ,174100,184065,3.14
141080,리가켐바이오,KOSDAQ,99000,275277,3.12
443060,HD현대마린솔루션,KOSPI,139100,100274,3.04
053030,바이넥스,KOSDAQ,15190,265924,2.91
00088K,한화3우B,KOSPI,18480,179683,2.9
212710,아이에스티이,KOSDAQ,10710,426274,2.88
489500,엘케이켐,KOSDAQ,27400,282999,2.81
406820,뷰티스킨,KOSDAQ,13350,142301,2.77
393970,대진첨단소재,KOSDAQ,17460,8307213,2.77
068270,셀트리온,KOSPI,174800,433026,2.76
086900,메디톡스,KOSDAQ,141800,133328,2.75
082740,한화엔진,KOSPI,22400,1021150,2.75
456070,이엔셀,KOSDAQ,14980,172345,2.74
323410,카카오뱅크,KOSPI,22600,488731,2.73
417200,LS머트리얼즈,KOSDAQ,10930,214798,2.73
035900,JYP Ent.,KOSDAQ,61100,313000,2.69
028050,삼성E&A,KOSPI,20350,1099239,2.67
475400,씨메스,KOSDAQ,23100,154259,2.67
035420,NAVER,KOSPI,196700,485068,2.66
001040,CJ,KOSPI,120100,115082,2.65
256940,케이피에스,KOSDAQ,10490,190481,2.64
024110,기업은행,KOSPI,14590,1325756,2.6
079550,LIG넥스원,KOSPI,258500,176208,2.58
119850,지엔씨에너지,KOSDAQ,15120,303106,2.58
078140,대봉엘에스,KOSDAQ,13500,127245,2.58
213420,덕산네오룩스,KOSDAQ,27900,122883,2.57
